"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"166","subj_17_piffif_Pre_7",17,"piffif","Pre","7","I","239",474,1991,2641,3814,5,13,15,17,"F","BB"
"167","subj_17_tissif_2_Post",17,"tissif","Post","2","I","245",481,1854,2856,3986,5,12,15,18,"F","BB"
"168","subj_17_tissif_38_Post",17,"tissif","Post","38","I","207",416,1803,2820,3987,4,12,15,18,"F","BB"
"169","subj_17_tissif_45_Post",17,"tissif","Post","45","I","228",441,1786,2855,4107,4,12,15,18,"F","BB"
"170","subj_17_tissif_AF2_15",17,"tissif","AF1","15","I","239",481,1478,2550,3553,5,11,15,17,"F","BB"
"171","subj_17_tissif_AF2_31",17,"tissif","AF1","31","I","260",527,1141,2785,3745,5,9,15,17,"F","BB"
"172","subj_17_tissif_AF2_49",17,"tissif","AF1","49","I","247",503,1418,2250,3711,5,11,14,17,"F","BB"
"173","subj_17_tissif_MN1_34",17,"tissif","MN2","34","I","288",539,1428,2250,3589,5,11,14,17,"F","BB"
"174","subj_17_tissif_MN1_38",17,"tissif","MN2","38","I","311",559,1234,2189,3322,5,10,14,16,"F","BB"
"175","subj_17_tissif_MN1_48",17,"tissif","MN2","48","I","306",577,1396,2292,3562,6,11,14,17,"F","BB"
"176","subj_17_tissif_Pre_14",17,"tissif","Pre","14","I","231",451,1853,2773,3798,5,12,15,17,"F","BB"
"177","subj_17_tissif_Pre_2",17,"tissif","Pre","2","I","239",469,1966,2894,4166,5,13,15,18,"F","BB"
"178","subj_17_tissif_Pre_29",17,"tissif","Pre","29","I","231",459,1867,2790,3862,5,12,15,17,"F","BB"
"179","subj_18_kiggif_10_Post",18,"kiggif","Post","10","I","308",327,2639,2889,3487,3,15,15,17,"F","NB"
"180","subj_18_kiggif_15_Post",18,"kiggif","Post","15","I","243",360,2653,2819,3910,4,15,15,17,"F","NB"
"181","subj_18_kiggif_16_Post",18,"kiggif","Post","16","I","263",294,2646,3061,3585,3,15,16,17,"F","NB"
"182","subj_18_kiggif_AF2_15",18,"kiggif","AF2","15","I","280",303,2535,2920,3999,3,14,15,18,"F","NB"
"183","subj_18_kiggif_AF2_36",18,"kiggif","AF2","36","I","293",316,2567,2908,3624,3,15,15,17,"F","NB"
"184","subj_18_kiggif_AF2_38",18,"kiggif","AF2","38","I","308",346,2404,3029,3530,4,14,16,17,"F","NB"
"185","subj_18_kiggif_MN1_22",18,"kiggif","MN1","22","I","264",458,2126,2843,3832,5,13,15,17,"F","NB"
"186","subj_18_kiggif_MN1_45",18,"kiggif","MN1","45","I","293",562,2406,2825,3819,5,14,15,17,"F","NB"
